lake,system,month,WL,RegFlow,R,P,Evap,SWE,T
Rainy,Nelson-Winnipeg,2016-10-01,0.1481428571428296,24.928571428571416,-3.3541434386279434,-25.758422092102208,0.16272584824556446,-1.7130830632692908,1.4660350254603793
Rainy,Nelson-Winnipeg,2016-11-01,0.08253825955688399,-76.60000000000002,-4.704979343971768,14.138759163740488,-7.9640555070779655,-2.4705794265693317,5.318699428013392
Rainy,Nelson-Winnipeg,2016-12-01,0.156224861762837,15.319230769230785,-3.6277897586977055,19.582048276249594,16.80403927241935,6.584498651877595,0.3098636203342018
Rainy,Nelson-Winnipeg,2017-01-01,0.1872933500995373,86.93571428571428,-0.04437627337340899,2.946480700172419,-0.1896607269113053,21.058987693062846,3.003029414585658
Rainy,Nelson-Winnipeg,2017-02-01,0.11673723339964681,110.90740740740742,2.1756526860242182,13.612124669764722,1.2777791832507193,8.86028220078775,3.4540574210030695
Rainy,Nelson-Winnipeg,2017-03-01,0.0927168309855233,150.93928571428572,6.302488509390969,-7.444138482761836,2.0683359554303546,-16.656446586629116,-0.6920253208705356
Rainy,Nelson-Winnipeg,2017-04-01,0.10825254527122752,92.89285714285714,13.816924391513957,9.929573882670539,3.2857307711050723,-41.25859310027278,1.2429820469447543
Rainy,Nelson-Winnipeg,2017-05-01,0.13753571428577516,6.6142857142857565,3.8179029486075606,-15.051181453080588,-1.4201559741715215,-3.8377491154317767,-0.7832118443080365
Rainy,Nelson-Winnipeg,2017-06-01,0.03624999999999545,-66.76428571428568,-4.588459913585602,18.593297281768173,5.829087416974033,-0.00010504309432200567,-0.15313720703125
Rainy,Nelson-Winnipeg,2017-07-01,0.09342857142860339,93.43214285714288,-3.0473042248299222,-26.98530695800271,-0.26922697101586834,-6.13080508824811e-25,-0.1053346906389514
Rainy,Nelson-Winnipeg,2017-08-01,0.15155611669979407,49.03571428571428,-1.8634586407902773,0.18425265859279705,0.32414837707099764,-3.897624386378834e-25,-0.8908593314034583
Rainy,Nelson-Winnipeg,2017-09-01,0.17968111669983955,42.74285714285716,2.623733234941028,62.71889815772218,-6.47400189856333,-0.0033689344149934186,0.2836183820452014
Rainy,Nelson-Winnipeg,2017-10-01,0.20814285714288872,113.92857142857142,18.955078994622454,10.359920449055991,6.265871156106833,1.6758353973175741,1.3462840488978793
Rainy,Nelson-Winnipeg,2017-11-01,0.1830382595568949,43.39999999999998,9.331785279625496,-6.355413185831694,7.348040131286588,30.601478684859885,-2.095179966517857
Rainy,Nelson-Winnipeg,2017-12-01,0.13622486176279835,34.319230769230785,4.188551655884279,-0.33774705715822506,-2.3195498237058665,18.949500836983873,-3.589458889431423
Rainy,Nelson-Winnipeg,2018-01-01,0.12429335009954912,15.935714285714283,3.237908148938523,-1.2080597818047458,0.2339499200648527,12.874785677662913,0.347206660679408
Rainy,Nelson-Winnipeg,2018-02-01,0.11173723339965136,25.90740740740742,1.9689547209834153,5.432652841721261,-0.9442056055247248,11.485822099660126,-2.6169569832938055
Rainy,Nelson-Winnipeg,2018-03-01,0.03821683098550466,24.939285714285717,0.3216822588001378,-23.24788559469328,4.871558464531388,26.293125618914402,-0.08411516462053559
Rainy,Nelson-Winnipeg,2018-04-01,-0.1252474547288216,-141.10714285714286,-7.219384216503904,-38.60247843216972,-2.6195679778798606,43.777695846594206,-3.9452808925083707
Rainy,Nelson-Winnipeg,2018-05-01,-0.03996428571423394,-227.38571428571424,-24.794075276336763,-20.748216450946146,3.457505613498924,-4.1608757900615245,3.0478733607700885
Rainy,Nelson-Winnipeg,2018-06-01,0.013249999999970896,-244.76428571428568,-18.559788066860555,17.562602588441223,0.7637636320266381,-0.00010504309432200567,1.11700439453125
Rainy,Nelson-Winnipeg,2018-07-01,0.07142857142861203,-56.56785714285712,-8.232788412507425,-5.70344642203834,9.693122926234665,-6.13080508824811e-25,0.7561765398297986
Rainy,Nelson-Winnipeg,2018-08-01,0.11098484910473871,-72.96428571428572,-6.0201554255659815,-18.062673941520714,-5.288915317838217,-3.897624386378834e-25,0.9803564889090417
Rainy,Nelson-Winnipeg,2018-09-01,0.16010984910474235,-30.25714285714284,-3.958145753131248,53.18828309620065,9.412603353017147,0.03291845990816,-0.8356748308454236
Rainy,Nelson-Winnipeg,2018-10-01,0.07714285714286007,195.92857142857142,10.328406206099316,31.461034090690575,-6.459523645129856,4.39204490393357,-3.1276234218052457
Rainy,Nelson-Winnipeg,2018-11-01,-0.0649617404430387,196.39999999999998,20.18749192107602,-12.475679811489371,-2.515818445577416,-0.8177258631414066,-3.821284702845982
Rainy,Nelson-Winnipeg,2018-12-01,-0.13427513823722848,40.319230769230785,13.198313740927173,-1.8122756306116514,-6.290258725466966,-6.94298595879917,1.6019473605685768
Rainy,Nelson-Winnipeg,2019-01-01,-0.04470664990049045,-18.064285714285717,7.1780453685538035,-0.25606382509327474,-0.4856651635886271,4.149254278412883,-2.677909306117467
Rainy,Nelson-Winnipeg,2019-02-01,0.08823723339963863,14.907407407407419,3.2083422723059947,22.291907175843203,-1.6182406564309657,20.78476508281061,-2.9263441903250555
Rainy,Nelson-Winnipeg,2019-03-01,0.07721683098554877,38.93928571428572,1.5115590140339918,0.6173429823580321,-0.5200502263115983,35.30099676988486,-1.4758998325892856
Rainy,Nelson-Winnipeg,2019-04-01,-0.016747454728772482,84.89285714285714,4.107537305182113,3.8111966776861124,-7.145256105494418,15.347241413629881,-0.37182508196149566
Rainy,Nelson-Winnipeg,2019-05-01,0.0040357142857487815,107.61428571428576,9.413261502881404,-22.247357551740222,-4.3691806412035845,-2.5864754433353454,-1.9368373325892865
Rainy,Nelson-Winnipeg,2019-06-01,-0.054250000000024556,-85.76428571428568,-0.2468960052023519,-25.95507219666615,-2.5780662378695354,-0.00010163102169756324,-0.55889892578125
Rainy,Nelson-Winnipeg,2019-07-01,0.039428571428629766,-124.56785714285712,-3.722299178272287,-7.795525681493544,-2.0897239529793836,-6.13080508824811e-25,0.8941465105329236
Rainy,Nelson-Winnipeg,2019-08-01,0.08655611669979635,-21.964285714285722,-5.216467990456813,4.37806852694068,8.096993825997089,-3.897624386378834e-25,-0.4156701224190833
Rainy,Nelson-Winnipeg,2019-09-01,0.15568111669983864,288.74285714285713,-1.4731140254298225,53.77212456161422,-17.022438447124188,-0.0033689344149934186,-0.2528196062360486
Rainy,Nelson-Winnipeg,2019-10-01,0.16814285714286825,466.92857142857144,16.200893878703937,21.62566606836792,7.499023735623005,-1.2085279508125626,-0.8696888514927457
Rainy,Nelson-Winnipeg,2019-11-01,0.004538259556909452,270.4,18.091254771986446,-4.658863597017316,-0.47714401651838756,5.930060092526089,-2.681697300502232
Rainy,Nelson-Winnipeg,2019-12-01,-0.08227513823720756,42.319230769230785,8.155546123075677,13.834413242336637,-5.081744837635025,16.769423701420976,0.14488559299045178
Rainy,Nelson-Winnipeg,2020-01-01,0.013793350099490453,43.93571428571428,3.1635905865446787,4.596321202240819,0.18881823182579982,37.84103305744273,3.487465449741908
Rainy,Nelson-Winnipeg,2020-02-01,0.07773723339965954,45.90740740740742,1.3237381083724493,-9.074712396665877,0.6747235144887656,39.22556300780603,0.46067973545619445
Rainy,Nelson-Winnipeg,2020-03-01,0.060716830985484194,28.939285714285717,-1.2206498577143066,-5.537402019919163,1.8773416606044133,45.95795707843665,1.1956699916294644
Rainy,Nelson-Winnipeg,2020-04-01,0.0002525452712234255,63.89285714285714,-6.430353761451052,-26.11877743869887,2.004935803207836,45.68400884870373,-1.7092579432896207
Rainy,Nelson-Winnipeg,2020-05-01,-0.05396428571424394,-258.38571428571424,-16.276269614796284,-48.66828131655764,1.232497053154347,-1.7313110737671167,0.024954659598213524
Rainy,Nelson-Winnipeg,2020-06-01,-0.0462500000000432,-277.7642857142857,-16.179589500617503,-11.189553479198366,5.15361079513761,-0.00010333705800978445,1.19110107421875
Rainy,Nelson-Winnipeg,2020-07-01,0.018928571428602936,-264.5678571428571,-12.22562242453153,-19.396449173135423,5.795667870968046,-6.13080508824811e-25,2.0465207781110486
Rainy,Nelson-Winnipeg,2020-08-01,0.018056116699824543,-121.96428571428572,-7.3528967144998845,35.598619175808764,3.5640014518451437,-3.897624386378834e-25,1.0987646920340417
Rainy,Nelson-Winnipeg,2020-09-01,-0.008318883300148627,-86.25714285714284,-6.909833828103729,-38.952770077490385,8.060763024591978,-0.0033689344149934186,-1.2811704363141736
Rainy,Nelson-Winnipeg,2020-10-01,-0.03735714285710401,-120.07142857142858,-10.747347871074453,-4.082198134191074,12.078159185226205,4.940936161428258,-3.2488392421177457
