lake,method,horizon_months,rmse,mae,nse,n_origins,min_exog_lag,requires_foresight
Okanagan_Lake,XGBoost_CCM_neighbor,6,0.10570228243437708,0.08859743529834911,-0.7616776405186787,10,1.0,True
Okanagan_Lake,XGBoost_CCM_neighbor,12,,,,0,1.0,True
Playgreen_Lake,SARIMA,1,0.13511055116494936,0.09899576039698968,0.805404159156902,37,,False
Playgreen_Lake,SARIMA,3,0.3016477974178384,0.19946674857534888,0.03003661715082806,35,,False
Playgreen_Lake,SARIMA,6,0.3773516289066109,0.3145122947619862,-0.5579224160736447,32,,False
Playgreen_Lake,SARIMA,12,0.24277796183495023,0.21242165869246502,-2.686542726388157,26,,False
Playgreen_Lake,Persistence,1,0.17282365876165856,0.12282233238366302,0.6887221687167389,18,,False
Playgreen_Lake,Persistence,3,0.4213146121878426,0.3131445904042233,-0.6066697126883072,18,,False
Playgreen_Lake,Persistence,6,0.49171242722553304,0.45065443329617794,-1.7711610825477213,18,,False
Playgreen_Lake,Persistence,12,0.5317488834026824,0.4643749999999969,-25.598929847991865,18,,False
Playgreen_Lake,XGBoost_AR_only,1,0.1579729662718396,0.10900032482788428,0.7339761536566146,32,,False
Playgreen_Lake,XGBoost_AR_only,3,0.3184130319956201,0.20520800721058188,-0.08077848567355961,32,,False
Playgreen_Lake,XGBoost_AR_only,6,0.4365160626627543,0.3372584770070394,-1.0847492515670947,32,,False
Playgreen_Lake,XGBoost_AR_only,12,0.2076294339094632,0.17105803108812426,-1.6963644289344715,26,,False
Playgreen_Lake,XGBoost_all_vars,1,0.15699337158580065,0.10862575454591511,0.7372651666100649,32,1.0,False
Playgreen_Lake,XGBoost_all_vars,3,0.2980478431642699,0.2124652253671005,0.053050128970172694,30,1.0,True
Playgreen_Lake,XGBoost_all_vars,6,0.40583828329501137,0.32015590069552785,-0.8020191112873887,27,1.0,True
Playgreen_Lake,XGBoost_all_vars,12,0.18569924614697242,0.16835040769008933,-1.1568554037638807,21,1.0,True
Playgreen_Lake,XGBoost_CCM_direct,1,0.1531707652933523,0.10849250583458235,0.7499039762677367,32,1.0,False
Playgreen_Lake,XGBoost_CCM_direct,3,0.3008937641943363,0.2180736541961655,0.03487981836971943,30,1.0,True
Playgreen_Lake,XGBoost_CCM_direct,6,0.45638414728642,0.4087581405364119,-1.278843333787128,27,1.0,True
Playgreen_Lake,XGBoost_CCM_direct,12,0.4625305939804092,0.44823406974179786,-12.3807876344301,21,1.0,True
Playgreen_Lake,XGBoost_CCM_ancestors,1,0.1497570826400841,0.10795426492114284,0.7609274219703371,32,1.0,False
Playgreen_Lake,XGBoost_CCM_ancestors,3,0.28670561823657265,0.22185037750817255,0.12375121406627021,30,1.0,True
Playgreen_Lake,XGBoost_CCM_ancestors,6,0.45252806966689113,0.4103088060341918,-1.2404972447506468,27,1.0,True
Playgreen_Lake,XGBoost_CCM_ancestors,12,0.4461645836368944,0.4298544013470733,-11.45061877906272,21,1.0,True
Playgreen_Lake,XGBoost_Stepwise,1,0.1623648514636557,0.11467290543908998,0.7189788144681233,32,1.0,False
Playgreen_Lake,XGBoost_Stepwise,3,0.30431492360884743,0.22686310205351706,0.012808235110382538,30,1.0,True
Playgreen_Lake,XGBoost_Stepwise,6,0.4241729448678945,0.34755834264050045,-0.9685175761270937,27,1.0,True
Playgreen_Lake,XGBoost_Stepwise,12,0.23333617677789834,0.21367057302073691,-2.405374696859845,21,1.0,True
Playgreen_Lake,XGBoost_CCM_neighbor,1,0.17301412384891274,0.12573977062324104,0.6809063674100939,32,1.0,False
Playgreen_Lake,XGBoost_CCM_neighbor,3,0.31069598737098403,0.23697683230729816,-0.029025912788527286,30,1.0,True
