cause,effect,status,obs_lag,obs_rho,obs_n,p_value,null_mean,null_std,n_valid_surrogates,convergence_diagnostic_pass,kendall_tau,kendall_p,completed_at,cause_lake,effect_lake,p_fdr,statistically_significant,lag_resolution,causal_evidence,waterway_connected
Playgreen_Lake,Sipiwesk_Lake,OK,2,0.78703,217,0.001996007984031936,0.3685557,0.09300420752476739,500,False,0.0,1.0,2026-08-27T12:11:43,Playgreen_Lake,Sipiwesk_Lake,0.009454774661203907,False,not_significant,False,True
Playgreen_Lake,Skaha_Lake,OK,-2,0.23998,282,0.21157684630738524,0.17780852,0.07365407617104161,500,True,1.0,5.5114638447971785e-06,2026-08-27T12:08:13,Playgreen_Lake,Skaha_Lake,0.34003421727972627,False,not_significant,False,False
Playgreen_Lake,Split_Lake,OK,2,0.77935,281,0.001996007984031936,0.29904366000000004,0.0854654141322933,500,True,0.7777777777777778,0.0024250440917107582,2026-08-27T11:54:32,Playgreen_Lake,Split_Lake,0.009454774661203907,True,resolved,True,False
Playgreen_Lake,Vaseux_Lake,OK,-12,0.33465,287,0.47305389221556887,0.32724602,0.08191594809290557,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T11:55:17,Playgreen_Lake,Vaseux_Lake,0.5913173652694611,False,not_significant,False,False
Rainy_Lake,Kalamalka_Lake,OK,5,0.32653,317,0.2994011976047904,0.28850734,0.08303869563958961,500,True,1.0,5.5114638447971785e-06,2026-08-27T12:06:34,Rainy_Lake,Kalamalka_Lake,0.4210329341317365,False,not_significant,False,False
Rainy_Lake,Kiskitto_Lake,OK,0,0.33566,283,0.23952095808383234,0.28296832,0.07591167238559297,500,True,1.0,5.5114638447971785e-06,2026-08-27T11:55:52,Rainy_Lake,Kiskitto_Lake,0.3653709530092358,False,not_significant,False,False
Rainy_Lake,Lake_of_the_Woods,OK,1,0.58927,333,0.001996007984031936,0.26333176,0.0707203410377976,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T12:09:24,Rainy_Lake,Lake_of_the_Woods,0.009454774661203907,True,resolved,True,True
Rainy_Lake,Okanagan_Lake,OK,6,0.40721,329,0.011976047904191617,0.22360976000000002,0.06893372867285216,500,True,1.0,5.5114638447971785e-06,2026-08-27T12:08:13,Rainy_Lake,Okanagan_Lake,0.03992015968063873,True,resolved,True,False
Rainy_Lake,Playgreen_Lake,OK,1,0.28585,294,0.21157684630738524,0.22675329999999996,0.07857141554604957,500,False,0.05555555555555555,0.919455467372134,2026-08-27T11:54:53,Rainy_Lake,Playgreen_Lake,0.34003421727972627,False,not_significant,False,False
Rainy_Lake,Sipiwesk_Lake,OK,6,0.6492,237,0.001996007984031936,0.32814714000000006,0.10133698937515562,500,True,1.0,5.5114638447971785e-06,2026-08-27T11:54:21,Rainy_Lake,Sipiwesk_Lake,0.009454774661203907,True,resolved,True,False
Rainy_Lake,Skaha_Lake,OK,-4,0.21356,309,0.27944111776447106,0.17997886,0.07511944488147126,500,True,0.8888888888888888,0.00024250440917107584,2026-08-27T12:12:28,Rainy_Lake,Skaha_Lake,0.4085377631833108,False,not_significant,False,False
Rainy_Lake,Split_Lake,OK,3,0.56695,303,0.005988023952095809,0.31242984,0.09348226077911467,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T12:11:07,Rainy_Lake,Split_Lake,0.02566295979469632,True,resolved,True,False
Rainy_Lake,Vaseux_Lake,OK,-12,0.43999,316,0.03992015968063872,0.29403858000000005,0.07486673835411557,500,True,1.0,5.5114638447971785e-06,2026-08-27T12:00:37,Rainy_Lake,Vaseux_Lake,0.08762961881115817,False,not_significant,False,False
Sipiwesk_Lake,Kalamalka_Lake,OK,3,0.5075,291,0.011976047904191617,0.31990422,0.06983478449878398,500,True,1.0,5.5114638447971785e-06,2026-08-27T12:06:37,Sipiwesk_Lake,Kalamalka_Lake,0.03992015968063873,True,resolved,True,False
Sipiwesk_Lake,Kiskitto_Lake,OK,7,0.38248,253,0.09580838323353294,0.28760176000000004,0.06942174193797214,500,True,0.8888888888888888,0.00024250440917107584,2026-08-27T12:01:49,Sipiwesk_Lake,Kiskitto_Lake,0.17964071856287425,False,not_significant,False,True
Sipiwesk_Lake,Lake_of_the_Woods,OK,1,0.28674,304,0.4251497005988024,0.28236936,0.0737266131976127,500,False,-0.3888888888888889,0.18018077601410934,2026-08-27T12:05:23,Sipiwesk_Lake,Lake_of_the_Woods,0.5466210436270317,False,not_significant,False,False
Sipiwesk_Lake,Okanagan_Lake,OK,2,0.24704,304,0.281437125748503,0.2188984,0.05713735439307634,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T12:19:30,Sipiwesk_Lake,Okanagan_Lake,0.4085377631833108,False,not_significant,False,False
Sipiwesk_Lake,Playgreen_Lake,OK,0,0.67812,267,0.001996007984031936,0.2544408,0.07551024833067363,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T12:02:24,Sipiwesk_Lake,Playgreen_Lake,0.009454774661203907,True,unresolved_contemporaneous,True,True
Sipiwesk_Lake,Rainy_Lake,OK,-2,0.3586,302,0.07784431137724551,0.2444064,0.07577645162344301,500,True,0.7777777777777778,0.0024250440917107582,2026-08-27T12:12:22,Sipiwesk_Lake,Rainy_Lake,0.15568862275449102,False,not_significant,False,False
Sipiwesk_Lake,Skaha_Lake,OK,-3,0.17459,281,0.4630738522954092,0.1745206,0.07494281500477547,500,True,0.6666666666666666,0.012665343915343916,2026-08-27T12:18:38,Sipiwesk_Lake,Skaha_Lake,0.5869950240364342,False,not_significant,False,False
Sipiwesk_Lake,Split_Lake,OK,2,0.94009,277,0.001996007984031936,0.33392543999999996,0.08591510115227939,500,True,0.6666666666666666,0.012665343915343916,2026-08-27T12:09:41,Sipiwesk_Lake,Split_Lake,0.009454774661203907,True,resolved,True,True
Sipiwesk_Lake,Vaseux_Lake,OK,-12,0.25556,287,0.8183632734530938,0.3167504,0.06938053763008759,500,True,0.8333333333333334,0.0008542768959435626,2026-08-27T11:57:41,Sipiwesk_Lake,Vaseux_Lake,0.9129975343430786,False,not_significant,False,False
Skaha_Lake,Kalamalka_Lake,OK,12,0.17294,303,0.8882235528942116,0.23200848000000002,0.05043500180717356,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T12:25:20,Skaha_Lake,Kalamalka_Lake,0.916575939031029,False,not_significant,False,False
Skaha_Lake,Kiskitto_Lake,OK,6,0.27789,272,0.12375249500998003,0.21903501999999997,0.049009174608430205,500,True,1.0,5.5114638447971785e-06,2026-08-27T11:55:34,Skaha_Lake,Kiskitto_Lake,0.21418701059419623,False,not_significant,False,False
Skaha_Lake,Lake_of_the_Woods,OK,8,0.25552,320,0.23552894211576847,0.22072451999999998,0.04927580983778552,500,True,1.0,5.5114638447971785e-06,2026-08-27T12:18:41,Skaha_Lake,Lake_of_the_Woods,0.3653709530092358,False,not_significant,False,False
Skaha_Lake,Okanagan_Lake,OK,7,0.20943,321,0.3253493013972056,0.19310500000000003,0.04412107320317583,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T12:06:55,Skaha_Lake,Okanagan_Lake,0.43703637501117165,False,not_significant,False,True
Skaha_Lake,Playgreen_Lake,OK,-10,0.19202,283,0.5189620758483033,0.19603959999999998,0.051219800509568564,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T12:07:14,Skaha_Lake,Playgreen_Lake,0.6398162578951685,False,not_significant,False,False
Skaha_Lake,Rainy_Lake,OK,12,0.18719,316,0.4251497005988024,0.18038938000000002,0.04610983027311638,500,True,0.9444444444444445,4.96031746031746e-05,2026-08-27T12:26:18,Skaha_Lake,Rainy_Lake,0.5466210436270317,False,not_significant,False,False
