lake,method,rmse,mae,nse,pbias,n_eval,n_selected_vars,arima_order,arima_seasonal_order,min_exog_lag,n_foresight_free_months,frac_foresight_free,status
Sipiwesk_Lake,SARIMA,1.3764081040569933,1.1573718400809982,-0.05823911031752815,-115.1393661493049,24.0,0.0,"(3, 0, 3)","(2, 0, 0, 12)",,37.0,1.0,
Sipiwesk_Lake,Persistence,1.80626602488264,1.3071457564161573,-0.8224381255484301,-902.4216308842396,24.0,0.0,,,,37.0,1.0,
Sipiwesk_Lake,XGBoost_AR_only,1.3599938013073551,0.990189879761291,-0.03314962862189508,-424.96554531408003,24.0,0.0,,,,37.0,1.0,
Sipiwesk_Lake,SARIMAX_all_vars,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Sipiwesk_Lake,XGBoost_all_vars,0.8924185035982716,0.6574239783145851,0.5551367820551506,-45.34340125857526,24.0,6.0,,,1.0,1.0,0.02702702702702703,
Sipiwesk_Lake,SARIMAX_CCM_direct,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Sipiwesk_Lake,XGBoost_CCM_direct,0.8370806138726069,0.6446469700122938,0.6085971944288499,-4.926240818383537,24.0,1.0,,,1.0,1.0,0.02702702702702703,
Sipiwesk_Lake,SARIMAX_CCM_ancestors,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Sipiwesk_Lake,XGBoost_CCM_ancestors,0.8854519552086861,0.6741800876357497,0.5620552054719178,38.23605402165563,24.0,6.0,,,1.0,1.0,0.02702702702702703,
Sipiwesk_Lake,SARIMAX_Stepwise,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Sipiwesk_Lake,XGBoost_Stepwise,0.7996382574156291,0.5719141879685404,0.6428287495571932,-127.24710767800342,24.0,5.0,,,1.0,1.0,0.02702702702702703,
Sipiwesk_Lake,SARIMAX_CCM_neighbor,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Sipiwesk_Lake,XGBoost_CCM_neighbor,0.9038570969639825,0.6994507635461318,0.5436596082553107,6.92060708305054,24.0,9.0,,,1.0,1.0,0.02702702702702703,
Skaha_Lake,SARIMA,0.06258716492160338,0.05270873022380046,-0.42448018645704844,90.83724451856737,37.0,0.0,"(1, 0, 0)","(0, 0, 0, 12)",,37.0,1.0,
Skaha_Lake,Persistence,0.07236733252099611,0.05619950235950241,-0.9044561772398962,-150.37606939985824,37.0,0.0,,,,37.0,1.0,
