lake,method_1,method_2,horizon_months,dm_stat,p_value,n,p_fdr
Lake_of_the_Woods,XGBoost_CCM_ancestors,XGBoost_CCM_direct,6,-0.10222121354779538,0.9185810899767277,27,1.0
Lake_of_the_Woods,XGBoost_CCM_ancestors,XGBoost_CCM_direct,12,-1.1899641357158133,0.2340604884810591,21,0.564798135247773
Lake_of_the_Woods,XGBoost_CCM_neighbor,XGBoost_CCM_ancestors,1,-0.649846815920165,0.515791174985093,32,0.7599931914603361
Lake_of_the_Woods,XGBoost_CCM_neighbor,XGBoost_CCM_ancestors,3,-1.5974653816321993,0.11016200844816093,30,0.4216545840602022
Lake_of_the_Woods,XGBoost_CCM_neighbor,XGBoost_CCM_ancestors,6,-1.3402584317849993,0.18016134068978928,27,0.5084214105906766
Lake_of_the_Woods,XGBoost_CCM_neighbor,XGBoost_CCM_ancestors,12,0.5467592432607357,0.5845441470499697,21,0.8077253075475525
Lake_of_the_Woods,XGBoost_CCM_ancestors,XGBoost_Stepwise,1,1.380990519214357,0.16728187575216769,32,0.49062976258874474
Lake_of_the_Woods,XGBoost_CCM_ancestors,XGBoost_Stepwise,3,1.4254455280336944,0.15402845543984323,30,0.4860353451427255
Lake_of_the_Woods,XGBoost_CCM_ancestors,XGBoost_Stepwise,6,1.2279622267212142,0.21946114810927853,27,0.5536406236393163
Lake_of_the_Woods,XGBoost_CCM_ancestors,XGBoost_Stepwise,12,-0.9261154101017645,0.35438600637196904,21,0.6710739791431383
Lake_of_the_Woods,XGBoost_CCM_ancestors,XGBoost_AR_only,1,0.8975609561262682,0.3694196622762398,32,0.6780886726365177
Lake_of_the_Woods,XGBoost_CCM_ancestors,XGBoost_AR_only,3,-1.0798483297238914,0.28020972554449,30,0.6059080428981504
Lake_of_the_Woods,XGBoost_CCM_ancestors,XGBoost_AR_only,6,-1.2659571934949032,0.20552840820967533,27,0.543182221696999
Lake_of_the_Woods,XGBoost_CCM_ancestors,XGBoost_AR_only,12,-1.8754111174990054,0.06073618684206816,21,0.28486127068181266
Lake_of_the_Woods,XGBoost_CCM_ancestors,Persistence,1,1.0848542853606575,0.2779861978618985,32,0.605028783581779
Lake_of_the_Woods,XGBoost_CCM_ancestors,Persistence,3,-1.1138048025123737,0.2653629362337271,30,0.5917820945300017
Lake_of_the_Woods,XGBoost_CCM_ancestors,Persistence,6,-1.9035874819520884,0.05696393040165404,27,0.27491288150363474
Lake_of_the_Woods,XGBoost_CCM_ancestors,Persistence,12,-2.6616542075259364,0.0077757714172492776,21,0.05628982352052195
Lake_of_the_Woods,XGBoost_CCM_ancestors,XGBoost_all_vars,1,1.3127817257223375,0.18925650953174022,32,0.5251868139505792
